KpStart,Kp,KpEnd
2024-10-10T00:00:00Z,2.0,2024-10-10T03:00:00Z
2024-10-10T03:00:00Z,2.6666666666666665,2024-10-10T06:00:00Z
2024-10-10T06:00:00Z,1.3333333333333333,2024-10-10T09:00:00Z
2024-10-10T09:00:00Z,2.6666666666666665,2024-10-10T12:00:00Z
2024-10-10T12:00:00Z,3.6666666666666665,2024-10-10T15:00:00Z
2024-10-10T15:00:00Z,7.666666666666667,2024-10-10T18:00:00Z
2024-10-10T18:00:00Z,8.333333333333334,2024-10-10T21:00:00Z
2024-10-10T21:00:00Z,8.666666666666666,2024-10-11T00:00:00Z
2024-10-11T00:00:00Z,8.333333333333334,2024-10-11T03:00:00Z
2024-10-11T03:00:00Z,7.666666666666667,2024-10-11T06:00:00Z
2024-10-11T06:00:00Z,7.666666666666667,2024-10-11T09:00:00Z
2024-10-11T09:00:00Z,7.666666666666667,2024-10-11T12:00:00Z
2024-10-11T12:00:00Z,6.333333333333333,2024-10-11T15:00:00Z
2024-10-11T15:00:00Z,4.0,2024-10-11T18:00:00Z
2024-10-11T18:00:00Z,3.0,2024-10-11T21:00:00Z
2024-10-11T21:00:00Z,3.3333333333333335,2024-10-12T00:00:00Z
2024-10-12T00:00:00Z,3.3333333333333335,2024-10-12T03:00:00Z
2024-10-12T03:00:00Z,1.6666666666666665,2024-10-12T06:00:00Z
2024-10-12T06:00:00Z,2.3333333333333335,2024-10-12T09:00:00Z
2024-10-12T09:00:00Z,4.666666666666667,2024-10-12T12:00:00Z
2024-10-12T12:00:00Z,4.0,2024-10-12T15:00:00Z
2024-10-12T15:00:00Z,3.0,2024-10-12T18:00:00Z
2024-10-12T18:00:00Z,3.0,2024-10-12T21:00:00Z
2024-10-12T21:00:00Z,2.6666666666666665,2024-10-13T00:00:00Z
